cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Aarewasser,https://www.cheese.com/aarewasser/,cow,Switzerland,,Cheddar,semi-soft,36.30%,789.9 mg/100g,buttery,washed,yellow,sweet,buttery,FALSE,FALSE,,,Jumi
Abbaye de Belloc,https://www.cheese.com/abbaye-de-belloc/,sheep,France,Pays Basque,Cheddar,"semi-hard, artisan",37.40%,733.2 mg/100g,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE,Abbaye Notre-Dame de Belloc,,
Abbot’s Gold,https://www.cheese.com/abbots-gold/,cow,"England, Great Britain, United Kingdom",North Yorkshire,Cheddar,semi-hard,37.90%,760.9 mg/100g,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,TRUE,FALSE,"Abbot's Gold Cheddar with Caramelised Onion, Caramelised Onion Cheddar, English Cheddar with Caramelized Onions",,Wensleydale Creamery
Abondance,https://www.cheese.com/abondance/,cow,France,,Cheddar,"semi-hard, artisan",36.50%,703.6 mg/100g,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE,Tomme d'Abondance,,
Acorn,https://www.cheese.com/acorn/,sheep,United Kingdom,Bethania,Cheddar,"hard, artisan",39.80%,713.2 mg/100g,"crumbly, firm",,,"burnt caramel, citrusy, herbaceous",fruity,TRUE,FALSE,,,
ADL Brick Cheese,https://www.cheese.com/adl-brick-cheese/,cow,Canada,Prince Edward Island,Cheddar,semi-soft,37.40%,725.8 mg/100g,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",,,,,ADL - Amalgamated Dairies Limited
ADL Mild Cheddar,https://www.cheese.com/adl-mild-cheddar/,cow,Canada,Prince Edward Island,Cheddar,semi-hard,38.10%,719.1 mg/100g,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",,,,,,ADL - Amalgamated Dairies Limited
Aged British Cheddar,https://www.cheese.com/aged-british-cheddar/,cow,United States,NY,Cheddar,"hard, artisan",37.90%,784.0 mg/100g,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",,,,,Muranda Cheese Company
Aged Cashew & Brazil Nut Cheese,https://www.cheese.com/aged-cashew-brazil-nut-cheese/,,United States,Brooklyn NY,Cheddar,"firm, artisan",38.80%,770.7 mg/100g,"firm, spreadable",,brown,"creamy, nutty, sweet","nutty, rich",TRUE,FALSE,,,Dr. Cow Tree Nut Cheese
Aged Cashew & Dulse Cheese,https://www.cheese.com/aged-cashew-dulse-cheese/,,United States,Brooklyn NY,Cheddar,"firm, artisan",38.70%,707.2 mg/100g,"firm, spreadable",,brown,"creamy, oceanic",rich,TRUE,FALSE,,,Dr. Cow Tree Nut Cheese
Aged Cashew & Hemp Seed Cheese,https://www.cheese.com/aged-cashew-hemp-seed-cheese/,,United States,Brooklyn NY,Cheddar,"firm, artisan",35.50%,776.0 mg/100g,"firm, spreadable",,brown,"creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE,,,Dr. Cow Tree Nut Cheese
Aged Cashew Nut & Kale Cheese,https://www.cheese.com/aged-cashew-nut-kale-cheese/,,United States,Brooklyn NY,Cheddar,"firm, artisan",36.10%,778.1 mg/100g,"firm, spreadable",,green,"creamy, oceanic, tangy",rich,TRUE,FALSE,,,Dr. Cow Tree Nut Cheese
Aged Cashew Nut Cheese,https://www.cheese.com/aged-cashew-nut-cheese/,,United States,Brooklyn NY,Cheddar,"firm, artisan",39.80%,788.6 mg/100g,"firm, spreadable",,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE,"Cajun Aged Cashew Cheese, Smoked Aged Cashew Cheese, Truffle Aged Cashew Cheese, Reishi Mushroom Aged Cashew Cheese",Plain Aged Cashew Cheese,Dr. Cow Tree Nut Cheese
Aggiano,https://www.cheese.com/aggiano/,cow,United States,Utah,Cheddar,"hard, artisan",38.50%,774.0 mg/100g,"creamy, dry",,cream,"butterscotch, tangy",fruity,TRUE,FALSE,,,Beehive Cheese Company
Ailsa Craig,https://www.cheese.com/ailsa-craig/,goat,"Scotland, United Kingdom",Stewarton,Cheddar,"semi-soft, artisan",39.80%,735.6 mg/100g,"creamy, fluffy",rindless,white,creamy,goaty,TRUE,FALSE,,Paddy's Milestone,Dunlop Dairy
Airedale,https://www.cheese.com/airedale/,cow,New Zealand,Airedale farming district,Cheddar,"semi-soft, artisan",37.10%,712.2 mg/100g,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE,,Aged Airedale,Whitestone Cheese
Alex James Co. No 1 Cheddar,https://www.cheese.com/alex-james-co-no-1-cheddar/,cow,United Kingdom,,Cheddar,hard,38.40%,753.0 mg/100g,"creamy, crumbly",,yellow,sweet,,,,,,
Alex James Co. No 4 Goats',https://www.cheese.com/alex-james-co-no-4-goats/,goat,United Kingdom,,Cheddar,fresh soft,39.10%,756.0 mg/100g,"smooth, springy",,pale white,,,,,,,
Alisia-Victoria,https://www.cheese.com/alisia-victoria/,cow,Switzerland,,Cheddar,firm,35.00%,710.0 mg/100g,smooth,natural,golden yellow,buttery,nutty,,,,,Eyeweid
Allgauer Emmentaler,https://www.cheese.com/allgauer-emmentaler/,cow,Germany,Swabia,Cheddar,hard,36.20%,725.4 mg/100g,firm,natural,yellow,nutty,pungent,FALSE,FALSE,,,
Alma Vorarlberger Alpkäse (3-5 months),https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/,cow,Austria,Vorarlberg,Cheddar,"hard, artisan",37.90%,746.9 mg/100g,firm,natural,yellow,"mild, spicy","mild, spicy",FALSE,FALSE,Vorarlberg Alpine cheese 3-5 months,,Rupp AG
Alma Vorarlberger Alpkäse (6-9 months),https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/,cow,Austria,Vorarlberg,Cheddar,"hard, artisan",35.80%,757.7 mg/100g,firm,natural,yellow,"spicy, strong","spicy, strong",FALSE,FALSE,Vorarlberg Alpine cheese 6-9 months,,Rupp AG
Alma Vorarlberger Bergkäse (10 months),https://www.cheese.com/alma-vorarlberger-bergkase-10-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan",39.80%,745.8 mg/100g,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 10 months,Rupp AG
Alma Vorarlberger Bergkäse (12 months),https://www.cheese.com/alma-vorarlberger-bergkase-12-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan",35.10%,740.9 mg/100g,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 12 months,Rupp AG
Alma Vorarlberger Bergkäse (6 months),https://www.cheese.com/alma-vorarlberger-bergkase-6-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan",35.30%,711.6 mg/100g,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 6 months,Rupp AG
Almnäs Tegel,https://www.cheese.com/almnas-tegel/,cow,Sweden,Västra Götaland,Cheddar,"hard, smear-ripened",37.10%,752.5 mg/100g,"open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",FALSE,FALSE,,Almnas Tegel,Almnäs Bruk
Alpe di Frabosa,https://www.cheese.com/alpe-di-frabosa/,cow,Italy,,Cheddar,semi-soft,37.70%,730.9 mg/100g,,,,bitter,"milky, mushroom",FALSE,FALSE,,,
Alpha Tolman,https://www.cheese.com/alpha-tolman/,cow,United States,"Greensboro, VT",Cheddar,"semi-hard, artisan",39.40%,744.0 mg/100g,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",,,,,Jasper Hill Farm
Alpicrème,https://www.cheese.com/alpicreme/,goat,France,,Cheddar,soft,36.20%,728.2 mg/100g,,,,,,FALSE,FALSE,,,
Alps Rebel,https://www.cheese.com/alps-rebel/,cow,Austria,Sulzberg,Cheddar,"semi-hard, artisan",36.00%,771.7 mg/100g,"creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",,,Alpenrebell,,Sulzberger Käserebellen Sennerei GmbH
American Cheese,https://www.cheese.com/american-cheese/,cow,United States,,Cheddar,"semi-soft, processed",36.50%,740.0 mg/100g,smooth,rindless,yellow,,mild,FALSE,FALSE,,,
Amish Frolic,https://www.cheese.com/amish-frolic/,cow,United States,"Milford, NJ",Cheddar,"hard, artisan",36.90%,759.8 mg/100g,"flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,FALSE,FALSE,,,Bobolink Dairy
Amul Processed Cheese,https://www.cheese.com/amul-processed-cheese/,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed",37.20%,747.3 mg/100g,"crumbly, dense",artificial,yellow,"buttery, creamy, salty",,TRUE,FALSE,,,Gujarat Cooperative Milk Marketing Federation (Amul)
Anari,https://www.cheese.com/anari/,"goat, sheep",Cyprus,island wide,Cheddar,"fresh soft, hard, artisan",35.60%,748.2 mg/100g,"brittle, creamy, flaky",natural,white,"creamy, mild, salty",,,,"Dry Anari, Fresh Anari",,
Anniversary Ale Cheddar,https://www.cheese.com/anniversary-ale-cheddar/,cow,United States,Northwest,Cheddar,"semi-hard, artisan",39.50%,724.7 mg/100g,"dense, firm",,,"creamy, mild, sweet","floral, fruity",TRUE,FALSE,,,Rogue Creamery
