cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
2,4,72,3,47,0,11,10,16,596,49,0,0
3,18,35,3,39,0,114,7,16,69,226,1,0
9,4,31,3,38,0,99,7,11,470,0,1,0
11,4,35,3,39,0,93,7,11,488,57,0,0
15,18,74,3,21,0,199,7,15,71,158,1,0
0,4,14,3,47,0,240,9,8,135,70,1,0
1,4,14,3,38,0,262,9,16,10,285,1,0
20,4,77,3,21,0,186,7,11,571,263,1,1
22,4,77,3,2,0,261,6,2,274,257,1,0
23,4,77,3,2,0,261,7,2,275,285,1,0
24,4,77,3,2,0,261,7,2,251,257,1,0
25,10,77,3,2,0,261,2,7,276,285,1,0
26,4,77,3,2,0,261,6,6,272,80,1,0
30,4,77,3,21,0,122,7,4,80,158,1,0
31,13,68,3,48,0,139,9,15,210,181,1,0
32,4,63,3,48,0,279,11,11,367,204,1,0
34,4,74,3,20,0,94,6,16,596,256,0,0
36,13,74,3,13,0,283,10,10,244,87,1,0
38,4,72,3,1,0,279,7,6,81,256,0,0
39,4,40,3,20,0,250,7,16,488,279,0,0
41,4,6,3,21,0,250,7,16,468,238,0,0
42,4,6,3,21,0,250,7,16,589,300,0,0
43,4,6,3,21,0,8,7,16,517,38,0,0
44,4,6,3,21,0,8,7,16,517,38,0,0
45,4,6,3,21,0,257,7,4,519,0,0,0
46,4,71,3,30,0,273,10,14,171,175,0,0
47,4,52,3,47,0,290,9,14,55,241,0,0
48,4,77,3,39,0,223,10,16,85,168,0,0
49,13,35,3,61,0,263,2,4,328,6,0,0
52,4,6,3,39,0,147,7,16,91,162,0,0
59,4,77,3,57,0,279,9,16,470,228,0,0
61,4,77,3,21,0,265,7,11,402,191,0,0
68,10,48,3,27,0,189,0,16,110,108,1,0
69,14,24,3,17,0,4,7,15,252,120,1,0
72,4,77,3,39,0,225,9,11,258,122,1,0
73,4,67,3,39,0,195,7,8,472,247,0,0
78,4,72,3,21,0,250,10,15,347,304,0,0
79,4,77,3,21,0,160,7,16,499,260,1,0
80,4,31,3,21,0,192,7,6,436,308,1,0
