cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Aarewasser,cow,Switzerland,Cheddar,semi-soft,High,buttery,washed,yellow,sweet,buttery,FALSE,FALSE
Abbaye de Belloc,sheep,France,Cheddar,"semi-hard, artisan",High,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE
Abbot’s Gold,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,High,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,TRUE,FALSE
Abondance,cow,France,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE
Acorn,sheep,United Kingdom,Cheddar,"hard, artisan",High,"crumbly, firm",natural,white,"burnt caramel, citrusy, herbaceous",fruity,TRUE,FALSE
ADL Brick Cheese,cow,Canada,Cheddar,semi-soft,High,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",TRUE,FALSE
ADL Mild Cheddar,cow,Canada,Cheddar,semi-hard,High,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",rich,TRUE,FALSE
Aged British Cheddar,cow,United States,Cheddar,"hard, artisan",High,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",TRUE,TRUE
Aged Cashew & Brazil Nut Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",mold ripened,brown,"creamy, nutty, sweet","nutty, rich",TRUE,FALSE
Aged Cashew & Dulse Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, oceanic",rich,TRUE,FALSE
Aged Cashew & Hemp Seed Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE
Aged Cashew Nut & Kale Cheese,"cow, water buffalo",United States,Cheddar,"firm, artisan",High,"firm, spreadable",bloomy,green,"creamy, oceanic, tangy",rich,TRUE,FALSE
Aged Cashew Nut Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",mold ripened,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE
Aggiano,cow,United States,Cheddar,"hard, artisan",High,"creamy, dry",natural,cream,"butterscotch, tangy",fruity,TRUE,FALSE
Ailsa Craig,goat,"Scotland, United Kingdom",Cheddar,"semi-soft, artisan",High,"creamy, fluffy",rindless,white,creamy,goaty,TRUE,FALSE
Airedale,cow,New Zealand,Cheddar,"semi-soft, artisan",High,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE
Alex James Co. No 1 Cheddar,cow,United Kingdom,Cheddar,hard,High,"creamy, crumbly",mold ripened,yellow,sweet,nutty,FALSE,FALSE
Alex James Co. No 4 Goats',goat,United Kingdom,Cheddar,fresh soft,High,"smooth, springy",washed,pale white,"creamy, meaty, mushroomy, nutty",earthy,TRUE,FALSE
Alisia-Victoria,cow,Switzerland,Cheddar,firm,High,smooth,natural,golden yellow,buttery,nutty,FALSE,FALSE
Allgauer Emmentaler,cow,Germany,Cheddar,hard,High,firm,natural,yellow,nutty,pungent,FALSE,FALSE
Alma Vorarlberger Alpkäse (3-5 months),cow,Austria,Cheddar,"hard, artisan",High,firm,natural,yellow,"mild, spicy","mild, spicy",FALSE,FALSE
Alma Vorarlberger Alpkäse (6-9 months),cow,Austria,Cheddar,"hard, artisan",High,firm,natural,yellow,"spicy, strong","spicy, strong",FALSE,FALSE
Alma Vorarlberger Bergkäse (10 months),cow,Austria,Cheddar,"hard, artisan",High,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE
Alma Vorarlberger Bergkäse (12 months),cow,Austria,Cheddar,"hard, artisan",High,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE
Alma Vorarlberger Bergkäse (6 months),cow,Austria,Cheddar,"hard, artisan",High,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,FALSE,FALSE
Almnäs Tegel,cow,Sweden,Cheddar,"hard, smear-ripened",High,"open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",FALSE,FALSE
Alpe di Frabosa,cow,Italy,Cheddar,semi-soft,High,soft-ripened,rindless,straw,bitter,"milky, mushroom",FALSE,FALSE
Alpha Tolman,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",FALSE,FALSE
Alpicrème,goat,France,Cheddar,soft,High,"firm, supple",bloomy,cream,"earthy, subtle, sweet","aromatic, floral, fruity",FALSE,FALSE
Alps Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",FALSE,FALSE
