milk,country,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
4,72,47,0,11,10,16,596,49,0,0
18,35,39,0,114,7,16,69,226,1,0
4,31,38,0,99,7,11,470,0,1,0
4,35,39,0,93,7,11,488,57,0,0
18,74,21,0,199,7,15,71,158,1,0
4,14,47,0,240,9,8,135,70,1,0
4,14,38,0,262,9,16,10,285,1,0
4,77,21,0,186,7,11,571,263,1,1
4,77,2,0,261,6,2,274,257,1,0
4,77,2,0,261,7,2,275,285,1,0
4,77,2,0,261,7,2,251,257,1,0
10,77,2,0,261,2,7,276,285,1,0
4,77,2,0,261,6,6,272,80,1,0
4,77,21,0,122,7,4,80,158,1,0
13,68,48,0,139,9,15,210,181,1,0
4,63,48,0,279,11,11,367,204,1,0
4,74,20,0,94,6,16,596,256,0,0
13,74,13,0,283,10,10,244,87,1,0
4,72,1,0,279,7,6,81,256,0,0
4,40,20,0,250,7,16,488,279,0,0
4,6,21,0,250,7,16,468,238,0,0
4,6,21,0,250,7,16,589,300,0,0
4,6,21,0,8,7,16,517,38,0,0
4,6,21,0,8,7,16,517,38,0,0
4,6,21,0,257,7,4,519,0,0,0
4,71,30,0,273,10,14,171,175,0,0
4,52,47,0,290,9,14,55,241,0,0
4,77,39,0,223,10,16,85,168,0,0
13,35,61,0,263,2,4,328,6,0,0
4,6,39,0,147,7,16,91,162,0,0
4,77,57,0,279,9,16,470,228,0,0
4,77,21,0,265,7,11,402,191,0,0
10,48,27,0,189,0,16,110,108,1,0
14,24,17,0,4,7,15,252,120,1,0
4,77,39,0,225,9,11,258,122,1,0
4,67,39,0,195,7,8,472,247,0,0
4,72,21,0,250,10,15,347,304,0,0
4,77,21,0,160,7,16,499,260,1,0
4,31,21,0,192,7,6,436,308,1,0
4,31,38,0,189,7,16,574,294,1,0
13,50,39,0,259,7,15,489,219,1,0
13,50,39,0,259,7,15,452,23,1,0
6,3,47,0,168,9,15,441,135,0,0
5,35,48,0,138,7,15,592,116,0,0
9,35,38,0,279,7,15,465,0,0,0
4,67,20,0,75,7,9,397,228,0,0
4,72,14,0,279,9,15,502,29,0,0
5,35,14,0,93,9,15,0,135,0,0
4,14,21,0,101,3,14,346,132,1,0
4,35,38,0,279,11,16,598,209,1,0
4,35,62,0,275,10,11,588,279,0,0
4,46,38,0,250,7,11,31,181,0,0
4,14,47,0,93,10,8,17,100,0,0
4,30,20,0,93,2,11,597,299,1,0
4,77,21,0,160,7,11,75,33,1,0
4,63,21,0,93,3,15,423,299,0,0
14,44,38,0,233,2,15,512,268,0,0
4,40,21,0,202,7,11,370,33,0,0
4,50,21,0,65,11,16,386,208,1,0
4,35,33,0,160,9,11,149,168,0,0
4,35,47,0,160,10,11,579,46,1,0
4,9,38,0,127,7,16,441,299,1,0
4,4,61,0,160,2,16,210,4,0,0
4,35,38,0,279,10,11,595,0,0,0
4,31,21,0,105,7,16,266,42,0,0
4,35,38,0,213,7,3,441,4,0,0
4,77,21,0,160,7,11,579,289,1,0
13,77,48,0,160,6,16,570,157,1,0
18,77,39,0,199,9,16,108,250,1,0
4,74,20,0,15,7,16,333,285,0,0
13,4,39,0,250,1,15,441,127,1,0
4,78,20,0,67,7,4,553,97,1,0
9,71,21,0,148,7,16,25,49,0,0
13,19,20,0,94,8,16,287,228,1,0
13,77,39,0,259,11,15,263,191,0,0
4,14,20,0,259,9,14,3,207,1,0
4,14,57,0,259,9,5,459,49,0,0
4,14,38,0,259,9,11,3,254,0,0
9,18,21,0,199,7,11,338,117,1,0
4,14,38,0,250,9,11,310,66,1,0
4,74,20,0,93,11,11,336,11,0,0
4,47,38,0,219,6,4,596,304,0,0
4,77,12,0,225,9,15,209,127,1,0
13,74,34,0,279,1,10,202,228,1,0
5,77,39,0,93,6,14,247,234,0,0
0,77,5,0,166,7,0,572,112,1,0
9,70,13,0,93,9,15,442,127,0,0
4,31,39,0,250,10,11,427,0,1,0
4,35,80,0,279,10,16,66,286,0,0
4,7,47,0,166,7,11,133,127,0,0
4,77,39,0,127,7,11,149,101,0,0
13,35,14,0,279,7,15,355,0,0,0
13,35,61,0,185,7,4,56,95,0,0
7,52,48,0,88,7,6,441,138,1,0
4,77,48,0,160,7,11,556,36,1,0
4,76,20,0,189,7,15,200,127,0,0
4,50,39,0,250,10,3,383,285,0,0
18,67,21,0,211,7,8,74,0,1,0
4,35,62,0,281,7,11,596,66,0,0
4,35,74,0,168,6,16,553,17,0,0
6,14,23,0,210,7,16,366,153,0,0
4,12,0,0,93,7,16,588,0,1,0
4,35,39,0,250,7,11,28,47,0,0
13,14,48,0,60,10,11,20,189,0,0
13,14,28,0,211,7,11,521,190,1,0
13,77,22,0,250,10,11,506,261,0,0
13,52,21,0,67,7,14,565,126,0,0
4,77,39,0,225,7,16,491,87,1,0
4,50,39,0,259,11,6,462,105,1,0
4,52,21,0,87,7,11,524,5,0,0
4,67,26,0,93,4,4,180,87,1,0
4,6,39,0,93,7,9,220,18,0,0
14,65,48,0,3,7,11,585,0,1,0
6,70,20,0,250,7,16,47,285,0,0
4,6,21,0,79,7,11,237,27,0,0
4,77,18,0,23,9,15,262,145,0,0
4,74,48,0,93,10,16,359,279,1,0
13,31,14,0,93,7,15,193,205,1,0
13,35,48,0,93,7,15,551,181,1,0
13,35,62,0,259,7,15,536,181,0,0
4,72,20,0,116,10,11,174,263,0,0
4,77,39,0,180,7,11,569,268,1,0
4,30,20,0,67,7,11,290,140,0,0
4,77,39,0,160,7,15,416,87,1,0
4,50,39,0,279,9,11,357,280,0,0
4,50,39,0,250,7,11,357,171,1,0
4,17,8,0,262,7,15,442,127,0,0
4,74,20,0,189,3,9,309,201,0,0
13,77,13,0,108,9,15,181,141,1,0
13,31,14,0,160,7,15,191,121,1,0
9,52,48,0,160,9,15,588,83,1,0
4,77,21,0,250,10,11,527,285,1,0
4,77,39,0,250,7,11,558,49,1,0
13,35,14,0,67,6,15,598,181,1,0
5,14,13,0,288,9,15,344,12,1,0
4,12,38,0,241,7,16,43,127,0,0
4,30,1,0,239,9,11,308,256,0,0
4,77,38,0,256,9,16,596,239,0,0
4,12,39,0,150,7,11,280,223,0,0
4,35,38,0,11,10,16,472,256,0,0
4,35,20,0,250,7,16,336,256,0,0
4,52,20,0,75,7,11,565,0,0,0
4,77,39,0,127,7,15,341,159,1,0
4,50,21,0,210,11,11,348,207,0,0
4,30,48,0,38,5,15,258,62,1,0
4,30,48,0,48,6,8,210,285,1,0
4,30,48,0,93,6,8,210,285,1,0
4,30,34,0,180,5,11,384,178,1,0
4,33,39,0,210,11,11,15,127,1,0
4,77,47,0,96,9,15,495,294,0,0
4,14,21,0,94,7,11,495,304,0,0
4,33,21,0,129,7,15,130,102,1,0
13,77,48,0,101,9,15,555,78,1,0
4,77,18,0,176,9,15,258,150,1,0
4,30,39,0,266,7,11,210,191,1,0
4,57,33,0,279,9,11,554,304,0,0
4,77,56,0,103,3,11,123,15,0,0
4,52,39,0,11,9,8,557,236,0,0
4,30,20,0,180,8,11,0,217,0,0
4,61,20,0,279,11,3,177,63,1,0
4,37,38,0,219,4,11,175,285,0,0
5,77,34,0,93,7,8,357,158,1,0
13,77,48,0,93,10,8,470,175,1,0
13,77,48,0,93,7,8,470,175,1,0
4,35,39,0,137,7,14,564,0,0,0
13,68,21,0,210,7,11,420,181,1,0
4,46,61,0,147,10,16,510,37,0,0
4,74,48,0,93,7,11,596,285,1,0
4,74,62,0,189,7,11,557,127,1,0
4,30,20,0,35,7,13,39,55,0,0
4,77,39,0,129,7,14,471,0,0,0
4,52,31,0,0,7,14,359,0,0,0
13,77,2,0,190,3,8,178,291,1,0
4,50,39,0,196,7,16,249,250,1,0
4,35,62,0,290,11,15,358,285,0,0
14,35,61,0,290,7,15,317,279,0,0
4,72,20,0,67,9,15,596,87,0,0
